GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G1100010005302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5302,,,,,,,,,,,State: 11 County: 001 Tract: 53.02,288,25,0,0,0,4,3,0,1,1,1,0,0,0,11
G1100010005401,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5401,,,,,,,,,,,State: 11 County: 001 Tract: 54.01,1403,113,7,1,0,12,13,26,3,15,3,1,0,0,83
G1100010005402,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5402,,,,,,,,,,,State: 11 County: 001 Tract: 54.02,109,8,3,0,0,0,3,4,0,0,1,0,0,0,8
G1100010005501,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5501,,,,,,,,,,,State: 11 County: 001 Tract: 55.01,2331,320,9,0,0,11,26,20,11,27,7,2,1,0,111
G1100010005502,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5502,,,,,,,,,,,State: 11 County: 001 Tract: 55.02,938,83,2,0,0,4,9,2,0,2,1,1,0,0,55
G11000100056,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,56,,,,,,,,,,,State: 11 County: 001 Tract: 56,4477,220,16,0,0,23,33,47,6,39,2,1,0,0,101
G1100010005701,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5701,,,,,,,,,,,State: 11 County: 001 Tract: 57.01,3886,193,9,0,0,25,45,33,12,48,13,2,0,1,145
G1100010005702,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,5702,,,,,,,,,,,State: 11 County: 001 Tract: 57.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G11000100058,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,58,,,,,,,,,,,State: 11 County: 001 Tract: 58,257,397,1,0,0,1,484,0,0,1,0,1,0,0,15
G11000100059,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,59,,,,,,,,,,,State: 11 County: 001 Tract: 59,310,739,2,0,0,1,35,1,0,2,12,1,0,0,9
G1100010006001,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,6001,,,,,,,,,,,State: 11 County: 001 Tract: 60.01,1330,1034,8,0,0,10,9,9,2,14,9,1,0,0,47
G1100010006002,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,6002,,,,,,,,,,,State: 11 County: 001 Tract: 60.02,20,775,0,0,0,1,0,3,0,0,0,0,0,0,0
G11000100061,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,61,,,,,,,,,,,State: 11 County: 001 Tract: 61,1116,697,6,0,0,6,13,1,3,3,0,0,0,1,29
G1100010006201,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,6201,,,,,,,,,,,State: 11 County: 001 Tract: 62.01,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010006202,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,,5.0,6202,,,,,,,,,,,State: 11 County: 001 Tract: 62.02,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010006301,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,6301,,,,,,,,,,,State: 11 County: 001 Tract: 63.01,1706,1607,6,1,0,9,6,9,1,5,0,3,0,0,26
G1100010006302,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,6302,,,,,,,,,,,State: 11 County: 001 Tract: 63.02,234,86,0,0,0,0,0,0,3,0,1,2,0,0,14
G11000100064,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,31.0,5.0,64,,,,,,,,,,,State: 11 County: 001 Tract: 64,119,3222,6,0,0,0,6,0,0,0,0,0,0,0,20
G11000100065,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,65,,,,,,,,,,,State: 11 County: 001 Tract: 65,2070,432,7,0,0,9,10,3,3,4,5,1,1,0,28
G11000100066,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,66,,,,,,,,,,,State: 11 County: 001 Tract: 66,1758,169,5,0,1,3,20,0,3,1,0,1,0,0,27
G11000100067,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,26.0,5.0,67,,,,,,,,,,,State: 11 County: 001 Tract: 67,2057,1626,6,0,1,5,9,2,1,2,9,1,0,0,25
